upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1592	techotaku39	67112915c48b949df6f2311d4de7cf040c1019aa	carry	ready	clear	clean	67112915c48b949df6f2311d4de7cf040c1019aa	proportional	accepted-change	maintained carry; ready and clean
pr-1581	techotaku39	93729d27611d18e975ff96e417f798d461f789e3	defer	ready	review	review	-	review-large	review	new or changed PR head; awaiting upstream review
pr-1567	3em0	aa7fdf0f5bfbacf811cf745409ae7aacb9c84bc3	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1564	heavygee	e8cbc5a005057ac0a5b2224a93d9e787509030c4	defer	merge-unstable	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1543	techotaku39	4a6dc6cbe68b33c04a1afcef605bfe365f7bac9a	defer	ready	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1542	swear01	f8953d241b82621f7f455fe05ba9f8a3929047bd	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1537	zj1123581321	693aed6e40beed850caeb65ac32fb4e6d68442d5	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1528	7bata	3517c527077d71033ec3782185ca4cf6d280d0f4	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1527	7bata	597c28d6bcb5dd2fc8938197d60e5dea9d327821	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1525	7bata	85e5ec888140097893bdf30dfe1b101145d2c54e	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1523	techotaku39	cef9e46a9ac0580ee241950634a69bf2deeadde9	defer	ready	review	review	-	review-large	review	new or changed PR head; awaiting upstream review
pr-1517	TimChesko	d9767f92f0beb3a245ed2329030126441676e8e0	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1512	techotaku39	b1c8d69d84d64131abee91000c27b6e9b0505e51	defer	merge-unstable	review	review	-	review	review	new PR head; awaiting individual audit
pr-1468	swear01	8f2d931d9ceb7573007df954276747338cd2a585	defer	ready	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1447	wu736139669	19daba6f54b3bc99d4645dd3be25cdc6d2be7b4b	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1443	wu736139669	1888de0e1e3fd9ae84001d49e56e8d607b4b67f8	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1436	swear01	66772e61dbe0dda0a6bd9c853ff190eedbbd0698	carry	ready	clear	clean	66772e61dbe0dda0a6bd9c853ff190eedbbd0698	exception	preserve	personal pr auto-carry; restores voice direct-send and cross-session delivery
pr-1429	wu736139669	5d3f41bb10bb22e7186d1abc0fc45e5659be479d	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1424	heavygee	9649af00c3d4b7860b8df58a5395179905d2ca40	defer	ready	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-1422	techotaku39	0d027bfbb3b1356d03e7856c78619c9e8627674e	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1419	swear01	cb64200637941ed429855a82ffcf2db977610416	carry	merge-unstable	clear	clean	cb64200637941ed429855a82ffcf2db977610416	exception	accepted-change	personal author auto-carry; maintained fork behavior
pr-1418	swear01	f3e42f832905d0744c5aa28cd1e239910d15f287	defer	merge-dirty	review	review	-	review	review	new or changed PR head; awaiting upstream review
pr-1414	techotaku39	ef5579e5fa2dedf0ceae7363b6a90b75f69cb703	carry	ready	clear	clean	ef5579e5fa2dedf0ceae7363b6a90b75f69cb703	proportional	accepted-change	maintained carry; ready and clean
pr-1361	Himehane	e1e7e8c3fbcfcdaaff872398c1d08758d3dcef0f	defer	ready	review	review	-	review	review	deferred this round; awaiting official review
pr-1360	wu736139669	b9c9975ae1afa1455385fdd69509c3f8c169c728	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1351	yin1245	feb70174798df546512ebd9096768c94ddead945	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1309	techotaku39	01a98c4efd4ddcfb0b8278c936ddd346f7e30936	defer	draft	review	review	-	review	review	deferred this round; awaiting official review
pr-1257	hqhq1025	6957978424f74209dca9295699137179282e80ad	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1242	hqhq1025	2c7a46f98f49a23e638f5188a6960ddc937cade3	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1212	hqhq1025	93d8678da8535c3a812e166f43961c1c4ff50f92	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-1193	mimoren	999f1d1170d382cc4fd5e5fdf6e0a6ab4a0bf65f	defer	draft	review	review	-	review	review	deferred this round; awaiting official review
pr-1189	tiann	5f949783ad2123d865d758a921681245683f899d	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1188	tiann	1f23f857e4173a25f969879ef139487ec1c9955e	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1163	heavygee	dfeccfef4c2c6adec90f3ba6e69f4a689a6e2db0	defer	ready	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-1158	techotaku39	b00e39794e707d3bdbd6ab1029b5a6576b3cf985	carry	ready	clear	clean	b00e39794e707d3bdbd6ab1029b5a6576b3cf985	proportional	accepted-change	maintained carry; ready and clean
pr-1126	GoldenZqqq	31ce48080df1a62150e9fe7e0a86fde511ef3cc2	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1099	NPUlrk	91116cd9089107625d95ae2bc99fa615ef87d6a6	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1093	techotaku39	14888e040dc6027a0e1b6132185379998d250bfb	drop	ready	review	review	-	review-large	review	explicit historical drop
pr-1092	zulinliu	4427e6e08b2fed4429c793af2841f7f47fb70bac	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-1091	zulinliu	0cf0d70310e9c58c5a41509793260a003822a9b4	drop	merge-dirty	review	review	-	review-huge	review	explicit historical drop
pr-1059	Arnie97	37deeeba5263ceb402429c069e911eac96eb406e	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-1054	DullJZ	9cbe9b1fa24edec152bb610e0b1049930c723432	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-987	heavygee	2c28a1365f2102c5cd1b7156b4af2207d3cb7192	defer	merge-unstable	review	review	-	review-huge	review	new or changed PR head; awaiting upstream review
pr-975	KorenKrita	344c6009b53e20829978e44367fa50b5870986fe	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-945	heavygee	80a1705bb869f5e92c2e1186fdffafc82cb1026c	defer	ready	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-942	dzshzx	f1f93474f042381818f0d605b1d64b3fb42cb02b	defer	merge-dirty	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-663	SpartaGeorge	5dbf6d406a6bb8507dc07598ba2aecc8cd98ee0f	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-658	yrom	f7d8ca3ea0f8ae47245443ce2c0cfec612263e62	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-553	wzxjohn	6e3da463f4fb213afc6a95d3005232e647f39ec6	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-536	dsus4wang	1de72788e93c6aae6511a5af8bb05bda631093c0	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-535	dsus4wang	abcf3a4bff8b685a70ceeb77008f4f217b43b67c	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-518	duxiaoxiong	72cceea333addd3a8b39948b722750056433d39b	defer	draft	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-490	tehao999	745acf545461ad7f8c615ebd178f3a15df869fb2	defer	draft	review	review	-	review-huge	review	deferred this round; awaiting official review
pr-484	YiwenZhu77	641a01266de65d4944ec5c609a40c717cd41662a	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-394	koenzhao	fb5f201ec230e0b7abdc15dcf26483d67a56a1be	defer	merge-dirty	review	review	-	review	review	deferred this round; awaiting official review
pr-325	MrHeB	c12df55ff52d2544ff40f313b702b24dc0732cf8	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
pr-312	just4zeroq	572d489bbd359fe1ca9b4eb96a852804e42e69ac	defer	merge-dirty	review	review	-	review-large	review	deferred this round; awaiting official review
