upstream_ref	author	head_sha	decision	status	maintainer_signal	bot_verdict	bot_sha	scope	behavior	reason
pr-1430	heavygee	2a713471afb4d874fb2eb1870b21a91b2c699e6d	review	ready	review	review	-	review	review	additions=563,deletions=43,files=7
pr-1429	wu736139669	e9de7233a009d50b848cfb177b8a6cabd0b4d07f	review	merge-unknown	review	review	-	review-large	review	additions=2280,deletions=61,files=25
pr-1424	heavygee	742f102910e6e4a9073252eaef736042777566a7	review	ready	review	review	-	review-huge	review	additions=5469,deletions=167,files=81
pr-1422	techotaku39	b603433bf3e2d371440cfb4fe72ee173a6a2beec	review	merge-unknown	review	review	-	review	review	additions=185,deletions=16,files=8
pr-1421	swear01	3f0cfe6578405338b295e97f0c8a874874076ad0	carry	merge-unknown	review	review	-	review	review	additions=107,deletions=20,files=4
pr-1420	swear01	228dcfa2366c3162b7a1dd218b44845467d6ca6c	carry	merge-unknown	review	review	-	review	review	additions=53,deletions=27,files=6
pr-1419	swear01	adb0ad029640aeae8dd821d62af7ee790ec95b12	carry	merge-unknown	review	review	-	review	review	additions=419,deletions=39,files=7
pr-1418	swear01	58a84ed53ab9beb12b678882dd2430a1c3a09f98	carry	merge-unknown	review	review	-	review	review	additions=115,deletions=2,files=6
pr-1415	techotaku39	ab18465f807c9643693e825349408b1ce22f21d4	review	merge-unknown	review	review	-	review	review	additions=145,deletions=5,files=5
pr-1414	techotaku39	e14ebe65d8d88db0543cc8199de74bb30f82f43a	review	merge-unknown	review	review	-	review	review	additions=111,deletions=2,files=2
pr-1413	heavygee	54603b788c03a41efbecdfc3649eaf4cb42da90b	review	ready	review	review	-	review	review	additions=629,deletions=34,files=8
pr-1411	techotaku39	9df8e84d71983e7fb9f3082aeabb5be50541963e	review	merge-unknown	review	review	-	review	review	additions=5,deletions=6,files=2
pr-1410	techotaku39	f892b89f8cbc916fe8af4590f4ce01aa190ad846	review	merge-unknown	review	review	-	review	review	additions=158,deletions=23,files=6
pr-1361	Himehane	9ab90d3e4be976a839bfcfe296dfb65487ddeb20	review	merge-unknown	review	review	-	review	review	additions=309,deletions=17,files=2
pr-1360	wu736139669	eebc35af4a7d0474fa82e5c3928bbe4127c55b56	review	merge-unknown	review	review	-	review-large	review	additions=2340,deletions=54,files=40
pr-1351	yin1245	feb70174798df546512ebd9096768c94ddead945	review	merge-unknown	review	review	-	review-large	review	additions=913,deletions=28,files=22
pr-1309	techotaku39	01a98c4efd4ddcfb0b8278c936ddd346f7e30936	review	draft	review	review	-	review	review	additions=957,deletions=195,files=13
pr-1257	hqhq1025	6957978424f74209dca9295699137179282e80ad	review	merge-unknown	review	review	-	review	review	additions=287,deletions=9,files=2
pr-1242	hqhq1025	2c7a46f98f49a23e638f5188a6960ddc937cade3	review	merge-unknown	review	review	-	review	review	additions=326,deletions=64,files=11
pr-1212	hqhq1025	93d8678da8535c3a812e166f43961c1c4ff50f92	review	merge-unknown	review	review	-	review-large	review	additions=1224,deletions=7,files=21
pr-1193	mrrnb	999f1d1170d382cc4fd5e5fdf6e0a6ab4a0bf65f	review	draft	review	review	-	review	review	additions=60,deletions=5,files=2
pr-1189	tiann	5f949783ad2123d865d758a921681245683f899d	review	merge-unknown	review	review	-	review	review	additions=113,deletions=11,files=4
pr-1188	tiann	1f23f857e4173a25f969879ef139487ec1c9955e	review	merge-unknown	review	review	-	review	review	additions=60,deletions=0,files=2
pr-1163	heavygee	4975731f3d24d05c445485c653533ec552dbe171	review	draft	review	review	-	review-huge	review	additions=2489,deletions=75,files=56
pr-1158	techotaku39	9323174baee46e85b04a20ac0eba2fdad821befa	review	merge-unknown	review	review	-	review	review	additions=173,deletions=9,files=4
pr-1157	techotaku39	b62788b053616a9b2f02b118116a917bec253be9	review	draft	review	review	-	review	review	additions=233,deletions=10,files=9
pr-1126	GoldenZqqq	31ce48080df1a62150e9fe7e0a86fde511ef3cc2	review	merge-unknown	review	review	-	review	review	additions=389,deletions=25,files=7
pr-1108	heavygee	0d9eaf065f0d194f273cfd73bb4fbd1d853fe55e	review	ready	review	review	-	review-huge	review	additions=10487,deletions=233,files=96
pr-1099	NPUlrk	91116cd9089107625d95ae2bc99fa615ef87d6a6	review	merge-unknown	review	review	-	review	review	additions=152,deletions=16,files=3
pr-1093	techotaku39	c94fa5fccd41f5f8113585b0afef737664d5f0c6	review	merge-unknown	review	review	-	review	review	additions=799,deletions=35,files=12
pr-1092	zulinliu	4427e6e08b2fed4429c793af2841f7f47fb70bac	review	merge-unknown	review	review	-	review-huge	review	additions=4590,deletions=359,files=41
pr-1091	zulinliu	0cf0d70310e9c58c5a41509793260a003822a9b4	review	merge-unknown	review	review	-	review-huge	review	additions=2731,deletions=93,files=66
pr-1059	Arnie97	37deeeba5263ceb402429c069e911eac96eb406e	review	merge-unknown	review	review	-	review	review	additions=22,deletions=307,files=4
pr-1054	DullJZ	9cbe9b1fa24edec152bb610e0b1049930c723432	review	merge-unknown	review	review	-	review	review	additions=263,deletions=64,files=12
pr-987	heavygee	283ccca04f2bf173f3362d48236d7c8ec6de47e3	review	ready	review	review	-	review-huge	review	additions=4012,deletions=165,files=40
pr-986	heavygee	a989dda1822be4e54893908d4baf7c2afeca19e6	review	ready	review	review	-	review	review	additions=654,deletions=160,files=16
pr-975	KorenKrita	344c6009b53e20829978e44367fa50b5870986fe	review	merge-unknown	review	review	-	review-huge	review	additions=4520,deletions=36,files=49
pr-955	swear01	cd37fc60386cd61f342af8f603cbfb534c478883	carry	merge-unknown	review	review	-	review-large	review	additions=1228,deletions=148,files=27
pr-945	heavygee	db5248429b2797b6cc437f72c135ae66f0963605	review	ready	review	review	-	review-huge	review	additions=10112,deletions=64,files=46
pr-942	dzshzx	f1f93474f042381818f0d605b1d64b3fb42cb02b	review	merge-unknown	review	review	-	review-huge	review	additions=29927,deletions=1050,files=246
pr-906	swear01	d652eafdb885d5b2e09ff76461564f3f316b78e1	carry	merge-unknown	review	review	-	review-huge	review	additions=1594,deletions=91,files=44
pr-847	heavygee	bdcbbe068e93279c9d23aa7aea6c6cd089d73542	review	ready	review	review	-	review-huge	review	additions=4134,deletions=91,files=40
pr-769	junxin367	60c11607ce3bba734f38b6fcf87be07b32298683	review	merge-unknown	review	review	-	review-huge	review	additions=3322,deletions=19,files=52
pr-663	SpartaGeorge	5dbf6d406a6bb8507dc07598ba2aecc8cd98ee0f	review	merge-unknown	review	review	-	review	review	additions=619,deletions=76,files=15
pr-658	yrom	f7d8ca3ea0f8ae47245443ce2c0cfec612263e62	review	merge-unknown	review	review	-	review	review	additions=159,deletions=6,files=4
pr-553	wzxjohn	6e3da463f4fb213afc6a95d3005232e647f39ec6	review	merge-dirty	review	review	-	review-large	review	additions=1866,deletions=7,files=20
pr-536	dsus4wang	1de72788e93c6aae6511a5af8bb05bda631093c0	review	merge-unknown	review	review	-	review-large	review	additions=1754,deletions=11,files=38
pr-535	dsus4wang	abcf3a4bff8b685a70ceeb77008f4f217b43b67c	review	merge-unknown	review	review	-	review	review	additions=643,deletions=6,files=17
pr-518	duxiaoxiong	72cceea333addd3a8b39948b722750056433d39b	review	draft	review	review	-	review-huge	review	additions=8937,deletions=304,files=119
pr-490	tehao999	745acf545461ad7f8c615ebd178f3a15df869fb2	review	draft	review	review	-	review-huge	review	additions=113035,deletions=7945,files=719
pr-484	YiwenZhu77	641a01266de65d4944ec5c609a40c717cd41662a	review	merge-unknown	review	review	-	review-large	review	additions=1128,deletions=58,files=19
pr-394	koenzhao	fb5f201ec230e0b7abdc15dcf26483d67a56a1be	review	merge-unknown	review	review	-	review	review	additions=33,deletions=9,files=2
pr-325	MrHeB	c12df55ff52d2544ff40f313b702b24dc0732cf8	review	merge-unknown	review	review	-	review-large	review	additions=2186,deletions=7,files=18
pr-312	just4zeroq	572d489bbd359fe1ca9b4eb96a852804e42e69ac	review	merge-unknown	review	review	-	review-large	review	additions=2092,deletions=6,files=18
